wk0000i,Workshops at the ACM Web Conference 2026,Mohamed Reda Bouadjenek:Deakin University;Danai Koutra:University of Michigan
wk1226,Constitutional Agents: Auditing and Mitigating Intersectional Bias in Multimodal Decision-Making Chains,Ke Zhu
wk1242,UniSafe: Modality-Agnostic Hateful Content Detection via Shared-Space Projection,"Siam Shibly Antar:School of Computer Science, McGill University;Syem Shibly Ador:School of Computer Science, Macquarie University;Steven H. H. Ding:School of Information Studies, McGill University;Benjamin C. M. Fung:School of Information Studies, McGill University"
wk1246,Frugal Agents: Efficient Bio Reasoning via Long-Sequence Compression and Prompt-Gated Memory,Mohammadhossein Ahmadi:Macquarie University;Saleh Afzoon:Macquarie University;Kamyar Taeb:Macquarie University;Parimehr Morassa Far:Macquarie University;Amin Beheshti:Macquarie University
wk1247L,Mixture of Orthogonal Decomposition for Semantically Generalisable Multimodal Deepfake Detection with Deepfake Manifold Disentanglement,"Qian Liu:TU Berlin;Zongxiong Chen:Fraunhofer FOKUS;Sonja Schimmler:Fraunhofer FOKUS,TU Berlin;Manfred Hauswirth:Fraunhofer FOKUS,TU Berlin"
wk1262,Fair Geolocation Extraction from Humanitarian Documents Using Large Language Models,"Gianmarco Cafferata:Universidad de San Andrés;Tiziano Demarco:Universidad de San Andrés;Kyriaki Kalimeri:ISI Foundation;Yelena Mejova:ISI Foundation;Mariano Gastón Beiró:Universidad de San Andrés,CONICET"
wk1265,From Code to Rubrics: A Multimodal Evaluation of LLM Systems for Automated Feedback Generation,Muhammad Haseeb:Texas Tech University;Ahmad Imam Amjad:University of Punjab;Maaz Amjad:Texas Tech University;Victor S. Sheng:Texas Tech University
wk1267,MAF-GAN: Modality-Aware Fusion GAN for Multimodal Fake News Detection,"Ali Anaissi:School of Computer Science, The University of Sydney,TD School, University of Technology Sydney;Junaid Akram:School of Computer Science, The University of Sydney;Xiaojie Lin:School of Computer Science, University of Technology Sydney;Morteza Saberi:School of Computer Science, University of Technology, Sydney;Ali Braytee:School of Computer Science, University of Technology, Sydney"
wk1276,"Multimodal Deployment Risks in Manufacturing AI: A Survey of Boundary Failures, Taxonomy, and Governance in Industry 5.0",Jialu Yang:Cardiff University;Taotao Cai:University of Southern Queensland;Kaize Shi:University of Southern Queensland
wk1278,Fed-S2: Adversarially Disentangled Federated Multimodal RAG for Safety-Critical Long-Tail Fault Diagnosis,"Qianqi Zhang:Faculty of Innovation Engineering, Macau University of Science and Technology;Zeling Xu:School of Engineering, Hong Kong University of Science and Technology;Caichun Cen:Faculty of Innovation Engineering, Macau University of Science and Technology;Yuntao Zou:School of Computer Science and Technology, Huazhong University of Science and Technology;Hongyan Liu:Faculty of Innovation Engineering, Macau University of Science and Technology;Yaohua Deng:Guangdong University of Technology;Hao Wu:Xiaohua (Shanghai) Internet Technology Co., Ltd;Zhiyong Liao:College of Life and Environmental Science, Wenzhou University;Zihui Lin:Faculty of Innovation Engineering, Macau University of Science and Technology;Dagang Li:Faculty of Innovation Engineering, Macau University of Science and Technology;Wei Wang:Engineering Research Centre of Applied Technology on Machine Translation and Artificial Intelligence, Macao Polytechnic University"
wk1279,"No Evidence, No Problem: When Less is More for Out of Context Multimodal Misinformation Detection","Siyuan Chen:School of Engineering, The University of Western Australia;Usman Naseem:School of Computing, Macquarie University;Mehwish Nasim:School of Physics, Mathematics and Computing, The University of Western Australia"
wk1288,Do You Think What I Think? A Qualitative Study for Maximising User Engagement through Latent Visual Properties,Md Rafiqul Islam:Charles Darwin University;Bem Le Hunte:University of Technology Sydney;Alice Xiaodan Dong:University of Technology Sydney;Dan Ferreira:University of Technology Sydney;Feng Yu:University of Technology Sydney;Sami Azam:Charles Darwin University;Weidong Huang:University of Technology Sydney
wk1289,"Exploring the Influence of Lifestyle, Social Health, and Demographic Factors on Psychological Well-being and Engagement Levels","Niranjana Arun Menon:School of Computer Science and Engineering, UNSW;Md Rafiqul Islam:Discipline of Information Technology, Charles Darwin University;Mohamed Reda Bouadjenek:School of Information Technology, Deakin University;Shoaib Jameel:School of Electronics and Computer Science, University of Southampton;Eran Segal:Division of Biology and Life Science, MBZUAI;Imran Razzak:Division of Biology and Life Science, MBZUAI"
wk1290,Can Thinking Models Think to Detect Hateful Memes?,"Mohamed Bayan Kmainasi:Computer Science and Engineering, Qatar. University;Mucahid Kutlu:Computer Science and Engineering, Qatar University;Ali Ezzat Shahroor:QCRI;Abul Hasnat:APAVI.AI,Blackbird.AI;Firoj Alam:QCRI"
wk1291,Semi-supervised Instruction Tuning for Large Language Models on Text-Attributed Graphs,Zixing Song:University of Bristol;Irwin King:The Chinese University of Hong Kong
wk1293,Analyzing the Impact of Image Novelty and Text Emotion on Meme Engagement,Sumeet Kumar:Indian School of Business;Aditya Bobde:University of Minnesota;Rakesh Mallipeddi:The Ohio State University
wk1400i,The 2nd Workshop on Social Science Meets Web Data: Reproducible and Reusable Computational Approaches (R2CASS),Fakhri Momeni:GESIS - Leibniz Institute for the Social Sciences;Arnim Bleier:GESIS - Leibniz Institute for the Social Sciences;Danilo Dessì:University of Sharjah;Muhammad Taimoor Khan:GESIS - Leibniz Institute for the Social Sciences
wk1404k,Social Bias Benchmarks for Large Language Models,Yue Feng
wk1412k,From Code to Executable Method: Making Your Code Both Methods Hub and MyBinder Ready,Muhammad Taimoor Khan:GESIS Leibniz-Institute for the Social Sciences;Fakhri Momeni:GESIS - Leibniz Institute for the Social Sciences;Arnim Bleier:GESIS-Leibniz Institute for the Social Sciences
wk1480,Who Shapes Web Standards? Uncovering the Main Topics of Interest in the W3C,"Henrique S. Xavier:NIC.br;Beatriz Rocha:NIC.br;Diogo Cortiz:NIC.br,PUC-SP"
wk1481s,Exploring Philosophical and Ideological Dimensions in Melancholic Instagram Comments: A Mixed-Methods Text Analytics Approach,"Nikita Sharma,Saravanan K N,Ramamurthy B"
wk1482s,Data Workflow Acceleration: A Smart System for Redundancy Elimination in Machine Learning Pipelines,Ahmed Sarwar Mohammed:Judson University
wk1483,The Verification Crisis: Expert Perceptions of GenAI Disinformation and the Case for Reproducible Provenance,"Alexander Loth:Frankfurt University of Applied Sciences;Martin Kappes:Frankfurt University of Applied Sciences;Marc-Oliver Pahl:IMT Atlantique, UMR IRISA, Chaire Cyber CNI"
wk1484,Automating Computational Reproducibility in Social Science: Comparing Prompt-Based and Agent-Based Approaches,Syed Mehtab Hussain Shah:GESIS - Leibniz-Institut für Sozialwissenschaften;Frank Hopfgartner:University of Koblenz;Arnim Bleier:GESIS - Leibniz-Institut für Sozialwissenschaften
wk1500i,"SemTech 2026: The 4th International Workshop on AI and Semantic Technologies for the Scientific, Technical, and Legal Web","Danilo Dessì:Computer Science Department, College of Computing and Informatics, University of Sharjah;Rima Dessì:Higher Colleges of Technology;Jeenu Joy:FIZ Karlsruhe — Leibniz Institute for Information Infrastructure;Hidir Aras:FIZ Karlsruhe — Leibniz Institute for Information Infrastructure;Francesco Osborne:KMi, The Open University,University of Milano-Bicocca"
wk1568,The LOPE Method: Improving Consistent Property Extraction for Scientific Knowledge Graphs Using LLMs,Sandra Schaftner:Chemnitz University of Technology;Martin Gaedke:Chemnitz University of Technology
wk1569,ORKG Properties Ontology Consolidated: LLM-Driven Refinement of Crowdsourced Knowledge for Machine-Actionability,Sandra Schaftner:Chemnitz University of Technology;Martin Gaedke:Chemnitz University of Technology
wk1570,Reasoning-Search-Augmented Large Language Models: A Survey and Taxonomy,"Biswas Poudel:Department of Computer Science & Engineering, Texas A&M University;Nilson Chapagain:Department of Statistics, Texas A&M University;Amit Kumar:College of Engineering and Computer Science, Texas A&M University;Xianshun Jiang:Department of Computer Science & Engineering, Texas A&M University"
wk1571,Beyond the Rules: Understanding the Design Logic of Internet Standards,"Jie Bian:Networks and Distributed Systems, Department of Informatics, University of Oslo;Michael Welzl:Networks and Distributed Systems, Department of Informatics, University of Oslo;Nikolay Arefyev:Language Technology, Department of Informatics, University of Oslo"
wk1572s,A Position Paper on Domain-Adaptive Text Classification and Abstractive Summarization using Semantic Enrichment and Transformer Models,Emmanuel Iko-Ojo Simon:Australian National University;Blessing Emedolu:University of Jos;Joshua Angyu:University of Jos
wk1573,"The Atomic Instruction Gap: Instruction-Tuned LLMs Struggle with Simple, Self-Contained Directives",Henry Lim:Singapore University of Technology and Design;Kwan Hui Lim:Singapore University of Technology and Design
wk1574,Saliency-Guided Embedding Alignment for Query-to-Document Legal Case Retrieval,"Yu-Han Shi:National Chung Hsing University,Smart Sustainable New Agriculture Research Center;Yao-Chung Fan:National Chung Hsing University,Smart Sustainable New Agriculture Research Center"
wk1600,16th Temporal Web Analytics Workshop (TempWeb),"Marc Spaniol:Université Caen Normandie, ENSICAEN, CNRS, Normandie Univ, GREYC UMR6072;Omar Alonso:Amazon;Ricardo Baeza-Yates:KTH, Royal Institute of Technology,Universitat Pompeu Fabra"
wk1606k,Global AI Incidents: Analysis and Trends,"Marko Grobelnik:AI Department, Jozef Stefan Institute"
wk1607,SLS: A Scalable Logic Subgraph Framework for Temporal Web Analytics and Hybrid Search,"Jiajia Nie:Shandong University;Zekun Yin:Shandong University;Haoliang Sun:Shandong University;Weipeng Jiang:The Theory Lab, Central Research, Huawei Technologies Company Ltd.;Wei Han:The Theory Lab, Central Research, Huawei Technologies Company Ltd.;Bo Bai:The Theory Lab, Central Research, Huawei Technologies Company Ltd."
wk1608,Scalable Anomaly Detection for Temporal Web Streams via Approximate Nearest Neighbor Search,Chuangen Gao:Qilu University of Technology (Shandong Academy of Sciences);Haoliang Sun:Shandong University;Zekun Yin:Shandong University;Weipeng Jiang:Huawei Technologies Company Ltd.;Wei Han:Huawei Technologies Company Ltd.;Bo Bai:Huawei Technologies Company Ltd.
wk1635,Community-Preserving Temporal Graph Backboning via Joint Spectral Analysis of Laplacians,"Carmela Comito:Institute for High Performance Computing and Networking, National Research Council of Italy (ICAR-CNR);Annalisa Socievole:Institute for High Performance Computing and Networking, National Research Council of Italy (ICAR-CNR)"
wk1636,The State of the Internet: Insights from Security Indicators,Florian Nettersheim:Federal Office for Information Security;Stephan Arlt:Federal Office for Information Security
wk1639,MiningWeb Evolution: A Dataset of DOM Changes Across Websites,Hilal Taha:University of Luxembourg;Jeongju Sohn:Kyungpook National University;Michail Papadakis:University of Luxembourg
wk1657s,(wk-s) Early Warning Framework for Predicting Web-Scale Collapse,Mary Lai Salvana:University of Connecticut;Oshani Seneviratne:Rensselaer Polytechnic Institute
wk1675,ImVision: Adapting Pretrained Vision Models for Time-Series Imputation,Alireza Shammasi:Macquarie University;Amin Beheshti:Macquarie University;Milad Mosharraf:Domain Group;Min Li:Domain Group;Pooyan Asgari:Domain Group;Yuankai Qi:Macquarie University
wk1676,Using Psycholinguistic Features for Multiplex Community Detection in Temporal Social Networks,"Karolina Malgorzata Sliwa:Institute for Complex Networks, WU Vienna;Ema Kahr:Institute for Complex Networks, WU Vienna;Mark Strembeck:Institute for Complex Networks, WU Vienna"
wk1677,PerQA: A Benchmark for Temporally Sensitive Questions on Heterogeneous Personal Data,Philipp Christmann:CISPA Helmholtz Center for Information Security;Gerhard Weikum:Max Planck Institute for Informatics
wk1678,Benchmarking Temporal Web3 Intelligence: Lessons from the FinSurvival 2025 Challenge,"Oshani Seneviratne:Rensselaer Polytechnic Institute;Fernando Spadea:Rensselaer Polytechnic Institute;Adrien Pavao:Codabench, MLChallenges;Aaron Green:Vassar College;Kristin Bennett:Rensselaer Polytechnic Institute"
wk1680,Suicide Risk Prediction via Comment‑Influenced Mental State Trajectories,Jun Li:The Hong Kong Polytechnic University;Xiangmeng Wang:The Hong Kong Polytechnic University;Ziyan Zhang:The Hong Kong University of Science and Technology;Qun Zhao:The Hong Kong Polytechnic University;Hong Va Leong:The Hong Kong Polytechnic University;Qing Li:The Hong Kong Polytechnic University
wk1683s,Temporal Challenges in Data-Driven Scenario-Building for Climate-Neutral Cities,"Dirk Ahlers:NTNU – Norwegian University of Science and Technology;Sagnik Bhattacharjee:ECOTEN Urban Comfort;Jiří Tencar:UCEEB, Czech University in Prague"
wk1700,Trustworthy Foundation Models for Web Intelligence: Causal Perspectives and Challenges,Haoang Chi:Tsinghua University;Qi Wang:Tsinghua University;Jiantong Jiang:The University of Melbourne;Jiangchao Yao:Shanghai Jiao Tong University;Feng Liu:The University of Melbourne;Bo Han:Hong Kong Baptist University
wk1705,Eroding the Truth-Default: A Causal Analysis of Human Susceptibility to Foundation Model Hallucinations and Disinformation in the Wild,"Alexander Loth:Frankfurt University of Applied Sciences;Martin Kappes:Frankfurt University of Applied Sciences;Marc-Oliver Pahl:IMT Atlantique, UMR IRISA, Chaire Cyber CNI"
wk1706,WITHDRAWN 2/2 by chairs -- UniLGT: A Unified Low-Label Training Framework for Graph Transformers,Jingyu He:Need Affiliation
wk1707,LLM and AI Agent: Golden Rule is All We Need,Djallel Bouneffouf:Affiliation Required
wk1713,Hierarchical Prompt Contrastive Learning for Weakly Supervised Histopathology Segmentation,"Zengmao Wang:School of Computer Science, Wuhan University;Ming Hu:School of Computer Science, Wuhan University;Chaoyang Zhou:School of Computer Science, Wuhan University;Shiying Sun:Institute of Automation，Chinese Academy of Sciences;Qingping Zheng:School of Computer Science, Zhejiang University;Leifei Zhang:School of Computer Science, Wuhan University;Yongchao Xu:School of Computer Science, Wuhan University;Bo Du:School of Computer Science, Wuhan University"
wk1714s,(wk-s)From Fiction to Referential Harm: Causal Perspectives on Narrative Integrity in LLMs,Manodyna K H
wk1716s,(wk-s)When Fiction Becomes Instruction: A Causal Failure of Robustness in Foundation Models,Manodyna K H
wk1719,TRACE: Transparent Web Reliability Assessment with Contextual Explanations,"Joydeep Chandra:Dept. of CST, BNRIST, Tsinghua University;Aleksandr Algazinov:Dept. of CST, Tsinghua University;Satyam Kumar Navneet:Independent Researcher;Rim El Filali:Dept. of CST, Tsinghua University;Matt Laing:Dept. of Psych. & Cog. Sci., Tsinghua University;Andrew Hanna:Sch. of Mater. Sci. & Eng., Tsinghua University;Yong Zhang:Dept. of CST, BNRIST, Tsinghua University"
wk1720,Multi-Branch Cooperation Networks for Enhanced Click-Through Rate Prediction in Large-Scale E-Commerce Search,Xu Chen:Taobao & Tmall Group of Alibaba;Zida Cheng:Taobao & Tmall Group of Alibaba;Shuai Xiao:Taobao & Tmall Group of Alibaba;Chen Ju:Taobao & Tmall Group of Alibaba;Xiaoming Liu:Xi'an Jiaotong University;Jinsong Lan:Taobao & Tmall Group of Alibaba;Xiaoyong Zhu:Taobao & Tmall Group of Alibaba;Bo Zheng:Taobao & Tmall Group of Alibaba
wk1721,Struggling at the Start: Structural Causes of Decoding Difficulty in Code Generation,Yuqi Zhu:Academy of Military Sciences;Jia Li:Wuhan University;Jiang Hao:Academy of Military Sciences;Shengze Li:Academy of Military Sciences;Jieyuan Zhang:Academy of Military Sciences;Ang Li:Academy of Military Sciences
wk1737L,Prediction Guardian: A Distribution-based Real-time Anomaly Detection and Mitigation Framework for Online Advertising,Gaurav Nagar:Meta;Yang Jin:Meta;Heesuk Son:Meta;Mohit Asudani:Meta;Shubham Gupta:Meta;Xing Zhang:Meta;Kestutis Patiejunas:Meta;Atul Goyal:Meta;Huan Guo:Meta;Jing Maggie Ma:Meta;Yijia Liu:Meta;Yi Meng:Meta;Bilal Fadlallah:Meta
wk1800i,TIME 2026: 2nd International Workshop on Transformative Insights in Multi-faceted Evaluation,"Lei Wang:Griffith University,Data61/CSIRO;Md Zakir Hossain:Curtin University;Tom Gedeon:Curtin University;Zicheng Pan:Griffith University;Syed Islam:Edith Cowan University;Rafiqul Islam:Charles Sturt University;Yasmeen George:Monash University;Shreya Ghosh:The University of Queensland"
wk1806,Fine-Grained Visual Understanding for Multimodal and Trustworthy AI,"Syuan-Hao Li:Griffith University;Yi-Jui Huang:National Yang Ming Chiao Tung University;Lei Wang:Griffith University,Data61/CSIRO;Yongsheng Gao:Griffith University"
wk1807,Decentralised Trust Layers for the Web: Towards Transparent AI-Powered Platforms,"Quazi Ehsanul Kabir Mamun:School of Computing, Mathematics and Engineering, Charles Sturt University;Md Rafiqul Islam:School of Computing, Mathematics and Engineering, Charles Sturt University"
wk1809,Beyond Fine-Tuning: The Present and Future of Parameter-Efficient Fine-Tuning in Vision Transformers,"Edwin Kwadwo Tenagyei:Griffith University;Lei Wang:School of Engineering and Built Environment — Electrical and Electronic Engineering, Griffith University,Data61, Commonwealth Scientific and Industrial Research Organisation;Yongsheng Gao:School of Engineering and Built Environment — Electrical and Electronic Engineering, Griffith University"
wk1812,RadioAR: Autoregressive Modeling for Accurate Radio Map Estimation,"Peilin Zheng:Xidian University;Xiucheng Wang:Xidian University;Wenshuo Chen:The Hong Kong University of Science and Technology (Guangzhou);Ruijin Sun:Xidian University;Lei Wang:Griffith University,Data61/CSIRO;Yutao Yue:The Hong Kong University of Science and Technology (Guangzhou),Institute of Deep Perception Technology, JITRI;Nan Cheng:Xidian University"
wk1813,Evaluating Trustworthiness in Reactive Web Architectures: A Structured Framework and Comparative Analysis,Shrinivass Arunachalam Balasubramanian:Independent Researcher
wk1814,Trust Degradation in Multimodal Time-Series Predictive Maintenance Systems,"Theodore Omeche:Independent Researcher;Joseph Azeta:Department of Mechatronics Engineering, Faculty of Engineering, Bells University of Technology"
wk1815,Rethinking Object Detection and Tracking,"Arpit Sharma:Christ University;Lei Wang:Griffith University,Data61/CSIRO;Yongsheng Gao:Griffith University"
wk1818,An Edge Computing Framework for Deep Learning-Based Anomaly Detection in Satellite-Linked Autonomous Vehicles,Md Mehedi Hasan:Charles Sturt University;Maumita Bhattacharya:CHARLES STURT UNIVERSITY;Md Rafiqul Islam:Charles Sturt University
wk1819,Privacy-Aware Machine Unlearning with SISA for Reinforcement Learning–Based Ransomware Detection,Jannatul Ferdous:Charles Sturt University;Rafiqul Islam:Charles Sturt University;Md Zahidul Islam:Charles Sturt University
wk1820,How Quantum Period Finding Breaks Rivest Shamir Adleman Algorithms,"Md Sarwar Kamal:School of System and Computing, UNSW Canberra;Sonia Farhana Nimmy:School of Business, UNSW Canberra;Ripon Chakrabortty:School of System and Computing, UNSW Canberra;Md Zakir Hossain:School of Medicine and Psychology, The Australian National University;Md Rafiqul Islam:Charles Sturt University"
wk1822,Guided Path Sampling: Steering Diffusion Models Back on Track with Principled Path Guidance,"Haosen Li:The Hong Kong University of Science and Technology (Guangzhou);Wenshuo Chen:The Hong Kong University of Science and Technology (Guangzhou);shaofeng liang:The Hong Kong University of Science and Technology (Guangzhou);Lei Wang:Griffith University,Data61/CSIRO;Haozhe Jia:The Hong Kong University of Science and Technology (Guangzhou);Yutao Yue:The Hong Kong University of Science and Technology (Guangzhou),Institute of Deep Perception Technology, JITRI"
wk1823,Towards Better Evaluation Metrics for Text-to-Motion Generation,"Wenshuo Chen:The Hong Kong University of Science and Technology (Guangzhou);Haozhe Jia:The Hong Kong University of Science and Technology (Guangzhou);Kuimou Yu:The Hong Kong University of Science and Technology (Guangzhou);Songning Lai:The Hong Kong University of Science and Technology (Guangzhou);Lei Wang:Griffith University & Data61/CSIRO;Yutao Yue:The Hong Kong University of Science and Technology (Guangzhou),JITRI, Institute of Deep Perception Technology"
wk1827,Graph Aggregation Beyond Homophily Assumption: a more meaningful way to model networks,Lucy Lu:Arkansas State University;Ming Lu:Fudan University
wk1829,Talking-Head Generation in Practice,"Zhicheng Zhang:University of New South Wales;Lei Wang:Griffith University,Data61/CSIRO;Yongsheng Gao:Griffith University;Yu Zhang:University of New South Wales"
wk1835,Feasibility of Cryptography In a Blockchain-Enhanced ICS Security,Kazi Kamal:Charles Sturt University;Rafiqul Islam:Charles Sturt University;Azizur Rahman:Charles Sturt University
wk1860,Orchestrating Heterogeneous Experts: A Scalable MoE Framework with Anisotropy-Preserving Fusion,Ye Liu:Alibaba International Digital Commerce Group;Wuji Chen:Alibaba International Digital Commerce Group;Xu Chen:Alibaba International Digital Commerce Group;Mang Li:Alibaba International Digital Commerce Group
wk1861,Measuring Privacy Risks and Tradeoffs in Financial Synthetic Data Generation,Michael Zuo:Rensselaer Polytechnic Institute;Inwon Kang:Rensselaer Polytechnic Institute;Stacy Patterson:Rensselaer Polytechnic Institute;Oshani Seneviratne:Rensselaer Polytechnic Institute
wk1900,wk-i - International Workshop on Trustworthy Multimodal Learning for Social Media Analysis,Fengmao Lv:Southwest Jiaotong University;Jingwei Sun:ByteDance;Guosheng Lin:Nanyang Technological University
wk1926,GeoPBR: Multimodal-Guided PBR Material Generation from a Single View,Luying Zhou:University of Electronic Science and Technology of China;Guowu Yang:University of Electronic Science and Technology of China
wk1927,HGSA: Heterogeneity-Guided Sarcasm Adaptation for Video Sentiment Analysis via Polarity Disentanglement,"Tiansheng Fang:School of Computer Science and Engineering, University of Electronic Science and Technology of China;Guowu Yang:School of Computer Science and Engineering, University of Electronic Science and Technology of China,Institute of Electronics and Information Industry Technology of Kash"
wk1928,wk - Sparse Causal Latent Features for Robust Multimodal Learning under Distribution Shifts,"Liang Cao:Massachusetts Institute of Technology;Weide Liu:Nanyang Technological University;Yan Qin:School of Automation, Chongqing University;Zhenghua Chen:The Agency for Science, Technology and Research;Zhuo Chen:PengCheng Laboratory;Bhushan Gopaluni:University of British Columbia"
wk1929s,Evidential Mixture-of-Experts for Sentiment Regression,Yankai Yu:Southwest Jiaotong University;Zhuyang Xie:Sichuan Agricultural University;Xiaofan Li:Sichuan Agricultural University;Yan Yang:Southwest Jiaotong University;Bo Peng:Southwest Jiaotong University;Yu He:Southwest Jiaotong University
wk1930,wk - Synthetic Media Detection Using Benford's Law,"Utkarsh Mishra,Mujtaba Shaikh"
wk1931,wk - PLM: Point-Language Maps for Zero-shot Object Goal Navigation,"Shengxiang Luo:Southwest Jiaotong University;Haonan Luo:Southwest Jiaotong University;Wenjing Yang:Seattle University;Yang Bai:SUGON Industrial Control and Security Center, Chengdu University of Information Technology;Tianrui Li:Southwest Jiaotong University"
wk1932s,Task-Aligned Unlearning for Multimodal Large Language Models,Tianyu Zhang:University of Science and Technology of China;Chenlu Ding:University of Science and Technology of China;Junfeng Fang:National University of Singapore;Jiancan Wu:University of Science and Technology of China;Xiang Wang:University of Science and Technology of China
wk1933s,StructProbe: Learning to Diagnose Structural Corruptions in AI-Generated Images,"Wenjie Liao,Jiaxin Song,Haotian Fan"
wk1934,Unsupervised Multi-Source Causal Feature Selection,"Zijing Wang:Joint Laboratory of Data Science and Business Intelligence, School of Statistics and Data Science, Southwestern University of Finance and Economics;Minghui Lu:Joint Laboratory of Data Science and Business Intelligence, School of Statistics and Data Science, Southwestern University of Finance and Economics;Minbo Ma:Insitute for Carbon Neutrality, Tsinghua University;Yanyong Huang:Joint Laboratory of Data Science and Business Intelligence, School of Statistics and Data Science, Southwestern University of Finance and Economics"
wk1935,EmoTg: Modeling Social Response to Telegram Posts Using LLM and NLP Features,Sergei O. Kurashkin:Bauman Moscow State Technical University;Ivan P. Malashin:Bauman Moscow State Technical University;Dmitry A. Martysyuk:Bauman Moscow State Technical University;Vladimir A. Nelyub:Bauman Moscow State Technical University;Igor S. Masich:Bauman Moscow State Technical University;Andrei P. Gantimurov:Bauman Moscow State Technical University;Aleksei S. Borodulin:Bauman Moscow State Technical University;Vadim S. Tynchenko:Bauman Moscow State Technical University
wk2000i,Workshop on Emerging Trends in Web Advertising,"Ehsan Toreini,Muadh Al Kalbani"
wk2023,Towards Automated Brand-Safety Detection: A Novel Dataset and Comparative Analysis of Language Models,Xin Peng:University of Toronto;Gerald Penn:University of Toronto
wk2025,Feedback Control for Small Budget Campaigns in Advertising,Sreeja Apparaju:Snap Inc.;Yichuan Niu:Snap Inc.;Xixi Qi:Snap Inc.
wk2027,Calculating Narrative Tension for Ad Placement in Online Narrative Fiction,Vedansh Mehta:University of Toronto;Sajad Shirali-Shahreza:Amirkabir University;Gerald Penn:University of Toronto
wk2064,Anatomy of Generative Scam Campaigns in Online Advertising Ecosystems,"Ewelina Bartuzi-Trokielewicz:NASK - National Research Institute;Alicja Martinek:AGH University of Kraków,NASK - National Research Institute"
wk2072,Smart Fast Finish: Preventing Overdelivery via Daily Budget Pacing at DoorDash,"Rohan Garg:Department of Computer Science, Purdue University;Yongjin Xiao:DoorDash;Dianxia Yang:DoorDash;Mandar Rahurkar:DoorDash, Inc"
wk2073,WITHDRAWN 2/2 email from chairs -- HarmonRank: Ranking-aligned Multi-objective Ensemble for Live-streaming E-commerce Recommendation,Boyang Xia:Kuaishou Technology
wk2100i,WebAndTheCity 12th International Smart City Workshop - Data-Driven Smart Cities,"Leonidas Anthopoulos:Department of Business Administration, University of Thessaly;Marijn Janssen:Faculty of Technology, Policy and Management, Delft University of Technology;Vishanth Weerakkody:University of Bradford"
wk2109,A Toolset for Modelling Non-Mediated Governance,"Alois Paulin:University of Applied Sciences,Jožef Stefan Institute"
wk2110,Boltzmann Interaction Models with Gibbs Decision Policies in Multi-Drone Urban Delivery Systems,Vitaly A. Krasikov:Bauman Moscow State Technical University;Ivan P. Malashin:Bauman Moscow State Technical University;Aleksei S. Borodulin:Bauman Moscow State Technical University;Andrei P. Gantimurov:Bauman Moscow State Technical University;Dmitry A. Martysyuk:Bauman Moscow State Technical University;Vladimir A. Nelyub:Bauman Moscow State Technical University;Igor S. Masich:Bauman Moscow State Technical University;Vadim S. Tynchneko:Bauman Moscow State Technical University
wk2111,LLM-Enabled Participatory Platforms for People-Centric Smart Cities,Miguel Domingues:OneSource;Marco Neto:OneSource;Amanda Silva:OneSource;Tomas Dias:OneSource;Luis Rosa:OneSource;Pedro Tomas:OneSource;Carla Guerra:Instituto Pedro Nunes;Vania Martins:Associação Oficina de Planeamento e Participação;Luis Cordeiro:OneSource
wk2112,Super-Resolution of Urban Socioeconomic Indicators via Graph-Based Recommender Systems,"Francesco Paolo Nerini:Department of Computer, Control and Management Engineering, Sapienza University of Rome;Claudio Borile:Independent;Antonio Ferrara:Intesa Sanpaolo AI Research;André Panisson:Intesa Sanpaolo AI Research"
wk2115,Closed-Loop Intelligence Architectures for Data-Driven Smart Cities,"João Fernandes:OneSource;José Guimarães:OneSource;André S. de Carvalho:OneSource;Luís Rosa:OneSource;Arush Mendon:Institute of Systems and Robotics, University of Coimbra;David Portugal:Institute of Systems and Robotics, University of Coimbra;Carlos Viegas:University of Coimbra, ADAI, Department of Mechanical Engineering;Luís Cordeiro:OneSource"
wk2117,A Contrastive Learning and Prompt-Driven Framework for Low-Resource User Geolocation,Menglin Li:Singapore University of Technology and Design;Kwan Hui Lim:Singapore University of Technology and Design
wk2118s,Big Data and AI in Smart City Negotiations: A Literature Review,"Leonidas Anthopoulos:Department of Business Administration, University of Thessaly;Dimitris Apostolopoulos:Department of Business Administration, University of Thessaly"
wk2300,ZABAPAD 2026: 1st Workshop on Zero-knowledge Proof and Blockchain for WEB 4.0: Advancing the Post-quantum and Decentralized Era,Shiho Kim:Yonsei University;Ho Suk:Yonsei University;Roberto Di Pietro:King Abdullah University of Science and Technology;Davor Svetinovic:Khalifa University;Kyunghi Chang:Inha University;Madhusudan Singh:Pennsylvania State University;Rakesh Shrestha:Research Institutes of Sweden
wk2301,Economics Model for Federated LLM Training via Blockchain,Soumyadeep Das:The Pennsylvania State University;Madhusudan Singh:The Pennsylvania State University
wk2303s,Hadamard-Aware Bit-wise PIM Architecture via Butterfly Adder-Tree Reuse,"Dohyun Kim:BK21 Graduate Program for Intelligent Semiconductor Technology, Yonsei University;Junghwan Choi:BK21 Graduate Program for Intelligent Semiconductor Technology, Yonsei University;Shiho Kim:BK21 Graduate Program for Intelligent Semiconductor Technology, Yonsei University"
