wk0000i,Workshops at the ACM Web Conference 2026,Mohamed Reda Bouadjenek:Deakin University;Danai Koutra:University of Michigan
wk0402,Mitigating Multiview Social Biases from Classifiers Trained for Toxicity Identification,"Muhammad Haseeb Ashraf:Department of Computer Science, Information Technology University of the Punjab;Sameen Mansha:Department of Computing and Learning Systems, KTH Royal Institute of Technology;Faisal Kamiran:Department of Computer Science, Information Technology University of the Punjab"
wk0409s,EmeraldApp: An AI-Driven Tool for Detecting Greenwashing in Sustainability Claims,"Georgios Kaoukis:Archimedes, Athena Research Center;Ioannis-Aris Koufopoulos:Archimedes, Athena Research Center;Eleni Psaroudaki:Archimedes, Athena Research Center;Danae Pla Karidi:Archimedes, Athena Research Center;Evaggelia Pitoura:University of Ioannina,Archimedes, Athena Research Center;George Papastefanatos:IMSI, Athena Research Center;Panayiotis Tsaparas:University of Ioannina,Archimedes, Athena Research Center"
wk0434,Towards Understanding Professional AI Assistant Use: Human-in-the-Loop Topic Modeling of Multi-turn Conversations,Yiyi Chen:Aalborg University;Sukhumarn Archasantisuk:Independent Consultant;Johannes Bjerva:Aalborg University
wk0440,Proactive Misinformation Forecasting via Incremental Topic Detection and Sentiment Polarization,"Carmela Comito:Institute for High Performance Computing and Networking (ICAR), National Research Council of Italy (CNR);Annalisa Socievole:Institute for High Performance Computing and Networking (ICAR), National Research Council of Italy (CNR);Ester Zumpano:DIMES, University of Calabria"
wk0442,From Fiction to Claim: Contextual Identifiability in LLM-Generated Discourse,Manodnya K H:University of Colorado Boulder;Ameya Bhat:University of Colorado Boulder
wk0500,DHOW-MiLLA: Joint Workshop on Diffusion of Harmful Content on Online Web and Countering Misinformation in the Age of LLMs and Agents,"Gautam Kishore Shahi,Thomas Mandl,Haiming Liu,Amit Kumar Jaiswal,Durgesh Nandini,Luis-Daniel Ibáñez,Junichi Suga,Dai Yamamoto,Rahul Mishra,Rajakrishnan P Rajkumar,Sagar Uprety,Bornali Phukon,Sujit Kumar"
wk0541,Deception Factories: Industrial-Scale Cloaking in Harmful Synthetic Media,"Ewelina Bartuzi-Trokielewicz:NASK - National Research Institute;Alicja Martinek:AGH University of Kraków,NASK - National Research Institute;Mateusz Trokielewicz:Warsaw University of Technology"
wk0542,RAMA: Retrieval-Augmented Multi-Agent Framework for Misinformation Detection in Multimodal Fact-Checking,Shuo Yang:The University of Hong Kong;Zijian Yu:Ant Group;Zhenzhe Ying:Ant Group;Yuqin Dai:Ant Group;Guoqing Wang:Ant Group;Jun Lan:Ant Group;Jinfeng Xu:The University of Hong Kong;Jinze Li:The University of Hong Kong;Edith C.H. Ngai:The University of Hong Kong
wk0543,ToxiTwitch: Toward Emote-Aware Hybrid Moderation for Live Streaming Platforms,Baktash Ansari:University of Washington;Elias Martin:University of Washington;Afra Mashhadi:University of Washington
wk0544,Context-Aware Silhouette-Based Age Estimation for Child Sexual Abuse Material (CSAM) Detection,Michał Koźbiał:NASK - National Research Institute;Ewelina Bartuzi-Trokielewicz:NASK - National Research Institute
